-149.834,58.3889,-134.566,64.8459
-158.089,19.5097,-155.798,21.3236
-155.778,19.0607,-155.055,19.7176
-124.674,40.7769,-123.82,48.371
-123.732,39.1253,-123.121,46.6882
-123.106,40.7347,-122.941,47.2136
-122.915,38.4038,-122.746,48.1291
-122.738,41.7268,-122.597,48.5201
-122.588,37.9722,-122.456,48.9507
-122.452,37.7658,-122.32,48.4102
-122.311,37.4828,-122.202,47.8937
-122.172,36.9833,-121.95,48.0543
-121.922,36.4819,-121.731,47.4902
-121.689,36.6943,-121.527,48.2468
-121.527,36.8434,-121.294,44.0639
-121.281,36.209,-121.126,45.6024
-121.1,35.3616,-120.665,47.5988
-120.657,34.6378,-120.433,46.9936
-120.43,34.7256,-120.099,48.3647
-120.075,34.4897,-119.874,47.8386
-119.846,34.4453,-119.74,47.2413
-119.732,34.3942,-119.49,48.4
-119.457,34.2524,-119.063,47.1303
-119.055,35.3313,-118.948,46.5754
-118.871,34.1992,-118.528,45.6522
-118.456,33.8597,-118.189,47.1281
-118.179,33.7937,-117.954,46.318
-117.953,33.8193,-117.845,48.5447
-117.813,33.217,-117.396,47.6998
-117.372,33.6765,-117.258,47.8082
-117.18,32.5528,-117.025,47.6615
-116.991,32.5794,-116.806,47.7154
-116.768,32.7252,-116.178,48.7056
-116.154,33.3791,-115.972,46.2756
-115.839,32.6762,-115.357,48.3917
-115.333,35.9879,-115.079,47.5944
-115.053,32.4667,-114.216,48.4005
-114.189,34.2439,-113.056,48.5103
-112.857,32.382,-112.294,48.6074
-112.233,33.2901,-112.107,47.8203
-112.095,32.8848,-112.013,46.6588
-112.009,32.8812,-111.885,46.8505
-111.885,33.1175,-111.799,42.0822
-111.762,32.8776,-111.651,40.4419
-111.609,32.5083,-111.293,47.4943
-111.155,31.2913,-110.952,44.657
-110.937,31.3372,-110.77,44.3731
-110.738,32.1764,-109.788,44.5597
-109.753,31.3492,-109.22,48.5404
-109.069,36.7969,-108.073,45.8064
-108.024,32.2558,-107.652,48.3175
-107.629,32.3103,-106.74,44.8151
-106.698,31.7878,-106.548,36.1877
-106.548,31.6675,-106.24,43.8748
-106.08,35.6198,-105.267,44.6633
-105.245,38.4382,-105.016,40.5925
-105.015,38.848,-104.824,40.5151
-104.817,32.1781,-103.514,46.9497
-103.484,29.3025,-101.787,48.6419
-101.767,27.5174,-99.5152,47.9409
-98.9677,29.1629,-98.3117,45.4686
-98.2911,26.2262,-97.7508,42.7475
-97.7131,25.9009,-97.4921,37.8975
