-149.834,61.1811,-147.31,64.8458
-157.871,19.2065,-155.055,21.3076
-124.61,40.7769,-123.648,48.3661
-123.383,39.1253,-123.106,45.5248
-123.101,43.7995,-122.962,47.2136
-122.941,40.7347,-122.688,47.0293
-122.66,44.7787,-122.56,48.5201
-122.554,37.7658,-122.379,48.9507
-122.364,37.7936,-122.263,48.4102
-122.256,37.0607,-122.025,47.6009
-121.999,36.9833,-121.772,47.4902
-121.74,36.9996,-121.575,48.2468
-121.555,36.8434,-121.331,45.6851
-121.294,36.485,-121.056,44.6306
-121.003,35.2595,-120.644,44.2998
-120.602,34.7256,-120.379,46.9936
-120.354,34.4897,-120.01,47.4306
-119.998,34.4453,-119.791,47.2413
-119.777,34.4278,-119.566,46.2089
-119.519,34.3942,-119.201,48.4
-119.12,35.3313,-118.951,46.5754
-118.871,34.1992,-118.418,39.4725
-118.417,33.7937,-118.117,47.1281
-118.078,33.8306,-117.939,46.318
-117.919,33.63,-117.615,48.5447
-117.589,33.217,-117.296,47.6725
-117.286,32.6312,-117.059,47.6615
-116.97,32.7896,-116.569,48.272
-116.541,32.7504,-116.106,48.7056
-116.064,33.3791,-115.766,46.2756
-115.677,32.7917,-115.263,48.3917
-115.253,32.4667,-114.614,36.4049
-114.602,33.6123,-113.562,48.5103
-113.476,33.37,-112.339,47.1756
-112.294,33.2901,-112.088,40.8079
-112.073,33.0611,-111.988,46.6588
-111.987,33.1175,-111.865,46.8505
-111.855,33.08,-111.714,41.8428
-111.677,32.5083,-111.308,42.6953
-111.155,31.3372,-110.937,33.6547
-110.877,32.0046,-110.599,44.3731
-110.401,31.3658,-109.687,44.5597
-109.684,31.3492,-108.736,48.5404
-108.733,36.7422,-107.977,45.8064
-107.957,32.2558,-107.01,44.0049
-106.986,31.7878,-106.604,40.4855
-106.604,31.7467,-106.403,35.2994
-106.365,31.6675,-105.491,44.288
-105.339,39.5339,-105.016,44.6633
-105.005,38.848,-104.817,40.5151
-104.778,32.1781,-103.484,46.9497
-103.316,29.3025,-101.703,48.6419
-101.665,27.5174,-98.9353,47.9409
-98.62,26.2262,-98.0833,45.4686
-97.9289,26.2003,-97.6917,42.7475
-97.6797,25.9009,-97.4722,35.6128
-97.4657,27.7653,-97.338,37.4769
-97.3139,26.0733,-97.0056,44.8997
-96.9437,32.1772,-96.5331,44.3486
-96.4759,30.6274,-96.0117,42.555
-96.0033,34.9061,-95.7114,46.8511
-95.6739,29.0436,-95.3261,37.677
-95.2947,29.6256,-95.0311,40.97
-95.0292,29.2631,-94.6697,47.8782
-94.6356,35.4081,-94.2651,39.5306
-94.177,29.9425,-94.0006,46.3944
-93.9875,29.7181,-93.6433,46.2056
-93.5995,30.1433,-93.2581,45.0121
-93.2551,34.1795,-92.8292,48.4128
-92.7651,34.7561,-92.0892,47.5212
-92.0461,30.2258,-91.3358,47.9464
-91.3153,29.995,-90.8172,41.4078
-90.8114,29.7639,-90.5172,46.6144
-90.4759,30.0411,-90.2258,44.0209
-90.2119,29.9933,-90.1014,41.8231
-80.4838,25.4782,-80.0969,26.2906
-89.9997,29.9431,-89.6803,47.9721
-89.6442,30.3009,-89.0892,45.6453
-89.0497,30.3901,-88.3956,45.5639
-82.5072,26.294,-80.0589,27.2906
-88.3931,30.4744,-88.1411,44.2893
-88.1165,30.4889,-87.8631,44.5167
-87.8319,41.6708,-87.7239,43.4981
-87.7184,37.6544,-87.5114,42.0622
-82.74,27.3072,-80.311,27.8539
-87.495,30.3681,-87.1375,41.6166
-82.7578,27.8636,-80.6283,28.1953
-87.0558,30.3942,-86.8911,41.7178
-86.8525,33.3169,-86.5917,41.6292
-82.6431,28.3108,-80.6156,29.1928
-86.5664,32.4128,-86.2428,44.3069
-86.2149,33.9913,-85.9701,42.7678
-85.9699,34.2886,-85.8247,46.2889
-85.8022,30.1289,-85.6544,42.9847
-84.9903,29.2069,-81.0531,30.3561
-85.6521,30.8475,-85.2459,42.2781
-85.1819,32.4274,-84.6909,44.3106
-84.6269,34.0144,-84.5,42.7614
-84.3483,30.3782,-81.0489,32.6056
-84.479,33.1787,-84.3578,39.5295
-84.3417,33.4347,-84.0664,40.0846
-84.0561,34.3778,-83.8761,43.5714
-83.83,34.3003,-83.6089,41.6206
-83.6014,32.8031,-83.36,43.61
-83.3575,33.925,-83.1035,42.4631
-83.0919,32.9672,-82.807,42.3122
-82.8068,35.5,-82.5287,42.7314
-82.5217,34.8439,-82.0957,42.9533
-82.0219,32.84,-78.9941,34.2856
-82.0756,34.9556,-81.6568,41.4922
-81.6212,35.7289,-81.3656,41.4454
-81.3373,34.9126,-80.8012,41.2317
-80.797,35.2411,-80.5884,41.4547
-80.395,34.3642,-76.6203,35.6413
-80.5728,35.8145,-80.1856,41.9597
-80.1451,36.0508,-79.8609,42.1428
-79.8592,36.109,-79.1729,42.4992
-79.092,35.8107,-76.1812,37.3444
-79.0119,38.0766,-78.0816,43.2189
-77.9583,37.3575,-77.4693,43.1461
-77.4003,37.5565,-75.6106,38.7784
-77.3752,38.8577,-77.0132,43.2303
-77.0128,38.8121,-76.6994,41.6447
