box_id,bbox_string,site_count,region
1,"-149.834,61.1811,-147.31,64.8458",7,AK
2,"-157.871,19.2065,-155.055,21.3076",12,HI
3,"-124.61,40.7769,-123.648,48.3661",12,MAIN
4,"-123.383,39.1253,-123.106,45.5248",12,MAIN
5,"-123.101,43.7995,-122.962,47.2136",12,MAIN
6,"-122.941,40.7347,-122.688,47.0293",12,MAIN
7,"-122.66,44.7787,-122.56,48.5201",12,MAIN
8,"-122.554,37.7658,-122.379,48.9507",12,MAIN
9,"-122.364,37.7936,-122.263,48.4102",12,MAIN
10,"-122.256,37.0607,-122.025,47.6009",12,MAIN
11,"-121.999,36.9833,-121.772,47.4902",12,MAIN
12,"-121.74,36.9996,-121.575,48.2468",12,MAIN
13,"-121.555,36.8434,-121.331,45.6851",12,MAIN
14,"-121.294,36.485,-121.056,44.6306",12,MAIN
15,"-121.003,35.2595,-120.644,44.2998",12,MAIN
16,"-120.602,34.7256,-120.379,46.9936",12,MAIN
17,"-120.354,34.4897,-120.01,47.4306",12,MAIN
18,"-119.998,34.4453,-119.791,47.2413",12,MAIN
19,"-119.777,34.4278,-119.566,46.2089",12,MAIN
20,"-119.519,34.3942,-119.201,48.4",12,MAIN
21,"-119.12,35.3313,-118.951,46.5754",12,MAIN
22,"-118.871,34.1992,-118.418,39.4725",12,MAIN
23,"-118.417,33.7937,-118.117,47.1281",12,MAIN
24,"-118.078,33.8306,-117.939,46.318",12,MAIN
25,"-117.919,33.63,-117.615,48.5447",12,MAIN
26,"-117.589,33.217,-117.296,47.6725",12,MAIN
27,"-117.286,32.6312,-117.059,47.6615",12,MAIN
28,"-116.97,32.7896,-116.569,48.272",12,MAIN
29,"-116.541,32.7504,-116.106,48.7056",12,MAIN
30,"-116.064,33.3791,-115.766,46.2756",12,MAIN
31,"-115.677,32.7917,-115.263,48.3917",12,MAIN
32,"-115.253,32.4667,-114.614,36.4049",12,MAIN
33,"-114.602,33.6123,-113.562,48.5103",12,MAIN
34,"-113.476,33.37,-112.339,47.1756",12,MAIN
35,"-112.294,33.2901,-112.088,40.8079",12,MAIN
36,"-112.073,33.0611,-111.988,46.6588",12,MAIN
37,"-111.987,33.1175,-111.865,46.8505",12,MAIN
38,"-111.855,33.08,-111.714,41.8428",12,MAIN
39,"-111.677,32.5083,-111.308,42.6953",12,MAIN
40,"-111.155,31.3372,-110.937,33.6547",12,MAIN
41,"-110.877,32.0046,-110.599,44.3731",12,MAIN
42,"-110.401,31.3658,-109.687,44.5597",12,MAIN
43,"-109.684,31.3492,-108.736,48.5404",12,MAIN
44,"-108.733,36.7422,-107.977,45.8064",12,MAIN
45,"-107.957,32.2558,-107.01,44.0049",12,MAIN
46,"-106.986,31.7878,-106.604,40.4855",12,MAIN
47,"-106.604,31.7467,-106.403,35.2994",12,MAIN
48,"-106.365,31.6675,-105.491,44.288",12,MAIN
49,"-105.339,39.5339,-105.016,44.6633",12,MAIN
50,"-105.005,38.848,-104.817,40.5151",12,MAIN
51,"-104.778,32.1781,-103.484,46.9497",12,MAIN
52,"-103.316,29.3025,-101.703,48.6419",12,MAIN
53,"-101.665,27.5174,-98.9353,47.9409",12,MAIN
54,"-98.62,26.2262,-98.0833,45.4686",12,MAIN
55,"-97.9289,26.2003,-97.6917,42.7475",12,MAIN
56,"-97.6797,25.9009,-97.4722,35.6128",12,MAIN
57,"-97.4657,27.7653,-97.338,37.4769",12,MAIN
58,"-97.3139,26.0733,-97.0056,44.8997",12,MAIN
59,"-96.9437,32.1772,-96.5331,44.3486",12,MAIN
60,"-96.4759,30.6274,-96.0117,42.555",12,MAIN
61,"-96.0033,34.9061,-95.7114,46.8511",12,MAIN
62,"-95.6739,29.0436,-95.3261,37.677",12,MAIN
63,"-95.2947,29.6256,-95.0311,40.97",12,MAIN
64,"-95.0292,29.2631,-94.6697,47.8782",12,MAIN
65,"-94.6356,35.4081,-94.2651,39.5306",12,MAIN
66,"-94.177,29.9425,-94.0006,46.3944",12,MAIN
67,"-93.9875,29.7181,-93.6433,46.2056",12,MAIN
68,"-93.5995,30.1433,-93.2581,45.0121",12,MAIN
69,"-93.2551,34.1795,-92.8292,48.4128",12,MAIN
70,"-92.7651,34.7561,-92.0892,47.5212",12,MAIN
71,"-92.0461,30.2258,-91.3358,47.9464",12,MAIN
72,"-91.3153,29.995,-90.8172,41.4078",12,MAIN
73,"-90.8114,29.7639,-90.5172,46.6144",12,MAIN
74,"-90.4759,30.0411,-90.2258,44.0209",12,MAIN
75,"-90.2119,29.9933,-90.1014,41.8231",12,MAIN
76,"-80.4838,25.4782,-80.0969,26.2906",12,MAIN
77,"-89.9997,29.9431,-89.6803,47.9721",12,MAIN
78,"-89.6442,30.3009,-89.0892,45.6453",12,MAIN
79,"-89.0497,30.3901,-88.3956,45.5639",12,MAIN
80,"-82.5072,26.294,-80.0589,27.2906",12,MAIN
81,"-88.3931,30.4744,-88.1411,44.2893",12,MAIN
82,"-88.1165,30.4889,-87.8631,44.5167",12,MAIN
83,"-87.8319,41.6708,-87.7239,43.4981",12,MAIN
84,"-87.7184,37.6544,-87.5114,42.0622",12,MAIN
85,"-82.74,27.3072,-80.311,27.8539",12,MAIN
86,"-87.495,30.3681,-87.1375,41.6166",12,MAIN
87,"-82.7578,27.8636,-80.6283,28.1953",12,MAIN
88,"-87.0558,30.3942,-86.8911,41.7178",12,MAIN
89,"-86.8525,33.3169,-86.5917,41.6292",12,MAIN
90,"-82.6431,28.3108,-80.6156,29.1928",12,MAIN
91,"-86.5664,32.4128,-86.2428,44.3069",12,MAIN
92,"-86.2149,33.9913,-85.9701,42.7678",12,MAIN
93,"-85.9699,34.2886,-85.8247,46.2889",12,MAIN
94,"-85.8022,30.1289,-85.6544,42.9847",12,MAIN
95,"-84.9903,29.2069,-81.0531,30.3561",12,MAIN
96,"-85.6521,30.8475,-85.2459,42.2781",12,MAIN
97,"-85.1819,32.4274,-84.6909,44.3106",12,MAIN
98,"-84.6269,34.0144,-84.5,42.7614",12,MAIN
99,"-84.3483,30.3782,-81.0489,32.6056",12,MAIN
100,"-84.479,33.1787,-84.3578,39.5295",12,MAIN
101,"-84.3417,33.4347,-84.0664,40.0846",12,MAIN
102,"-84.0561,34.3778,-83.8761,43.5714",12,MAIN
103,"-83.83,34.3003,-83.6089,41.6206",12,MAIN
104,"-83.6014,32.8031,-83.36,43.61",12,MAIN
105,"-83.3575,33.925,-83.1035,42.4631",12,MAIN
106,"-83.0919,32.9672,-82.807,42.3122",12,MAIN
107,"-82.8068,35.5,-82.5287,42.7314",12,MAIN
108,"-82.5217,34.8439,-82.0957,42.9533",12,MAIN
109,"-82.0219,32.84,-78.9941,34.2856",12,MAIN
110,"-82.0756,34.9556,-81.6568,41.4922",12,MAIN
111,"-81.6212,35.7289,-81.3656,41.4454",12,MAIN
112,"-81.3373,34.9126,-80.8012,41.2317",12,MAIN
113,"-80.797,35.2411,-80.5884,41.4547",12,MAIN
114,"-80.395,34.3642,-76.6203,35.6413",12,MAIN
115,"-80.5728,35.8145,-80.1856,41.9597",12,MAIN
116,"-80.1451,36.0508,-79.8609,42.1428",12,MAIN
117,"-79.8592,36.109,-79.1729,42.4992",12,MAIN
118,"-79.092,35.8107,-76.1812,37.3444",12,MAIN
119,"-79.0119,38.0766,-78.0816,43.2189",12,MAIN
120,"-77.9583,37.3575,-77.4693,43.1461",12,MAIN
121,"-77.4003,37.5565,-75.6106,38.7784",12,MAIN
122,"-77.3752,38.8577,-77.0132,43.2303",12,MAIN
123,"-77.0128,38.8121,-76.6994,41.6447",12,MAIN
124,"-76.6814,39.2177,-76.2833,43.2843",12,MAIN
125,"-76.2039,39.3052,-75.732,44.0878",12,MAIN
126,"-75.5639,38.7791,-74.431,39.8172",12,MAIN
127,"-75.6231,39.8187,-75.1424,43.0994",12,MAIN
128,"-75.1223,39.924,-74.7426,40.9246",12,MAIN
129,"-74.4441,39.9949,-73.8933,40.7269",12,MAIN
130,"-74.6763,40.7317,-73.9214,43.4556",12,MAIN
131,"-73.9022,40.7356,-72.715,41.1519",12,MAIN
132,"-73.8589,41.1714,-73.0442,44.3931",12,MAIN
133,"-72.9027,41.2569,-70.7858,41.7714",12,MAIN
134,"-72.6297,41.772,-70.0239,42.1944",12,MAIN
135,"-72.9825,42.2639,-71.5145,44.5284",12,MAIN
136,"-71.3622,42.2117,-70.9719,42.7848",11,MAIN
137,"-71.4983,43.0754,-69.2608,44.0894",11,MAIN
138,"-71.2176,44.3081,-67.6155,47.3553",11,MAIN
